  generation=0, f=8.4
  generation=1, f=8.028036929585065
  generation=2, f=8.028036929585065
  generation=3, f=8.024337172584552
  generation=4, f=7.925930232697343
  generation=5, f=7.925930232697343
  generation=6, f=7.899532504670825
  generation=7, f=7.827152246822382
  generation=8, f=7.827152246822382
  generation=9, f=7.827152246822382
  generation=10, f=7.827152246822382
  generation=11, f=7.827152246822382
  generation=12, f=7.827152246822382
  generation=13, f=7.822095723280042
  generation=14, f=7.822095723280042
  generation=15, f=7.822095723280042
  generation=16, f=7.821798033089901
  generation=17, f=7.821798033089901
  generation=18, f=7.821798033089901
  generation=19, f=7.819865838027024
  generation=20, f=7.819558964834443
  generation=21, f=7.818170625891555
  generation=22, f=7.817990582595121
  generation=23, f=7.817990582595121
  generation=24, f=7.817990582595121
  generation=25, f=7.817990582595121
  generation=26, f=7.817989931163279
  generation=27, f=7.817915498112701
  generation=28, f=7.817781156694044
  generation=29, f=7.817781156694044
  generation=30, f=7.817773315771592
  generation=31, f=7.817768187376074
  generation=32, f=7.817768187376074
  generation=33, f=7.817768187376074
  generation=34, f=7.817768187376074
  generation=35, f=7.817768187376074
  generation=36, f=7.817768187376074
  generation=37, f=7.817768187376074
  generation=38, f=7.817767855877301
  generation=39, f=7.817767855877301
  generation=40, f=7.817767855877301
  generation=41, f=7.817767855877301
  generation=42, f=7.817767855877301
  generation=43, f=7.817767855877301
  generation=44, f=7.817767855877301
  generation=45, f=7.817767693527982
  generation=46, f=7.817767693527982
  generation=47, f=7.8177668991827405
  generation=48, f=7.8177668991827405
  generation=49, f=7.8177668991827405
  generation=50, f=7.8177668991827405
  generation=51, f=7.8177668991827405
  generation=52, f=7.8177668991827405
  generation=53, f=7.8177668991827405
  generation=54, f=7.8177668991827405
  generation=55, f=7.817766878863049
  generation=56, f=7.817766878863049
  generation=57, f=7.817766863278134
  generation=58, f=7.817766859469109
  generation=59, f=7.81776685144878
  generation=60, f=7.81776685144878
  generation=61, f=7.817766850917882
  generation=62, f=7.817766849704156
  generation=63, f=7.817766849591146
  generation=64, f=7.817766848786994
  generation=65, f=7.817766848693314
  generation=66, f=7.817766848693314
  generation=67, f=7.817766848537119
  generation=68, f=7.817766848323165
  generation=69, f=7.817766848182063
  generation=70, f=7.817766848164272
  generation=71, f=7.817766848146668
  generation=72, f=7.81776684807763
  generation=73, f=7.81776684807763
  generation=74, f=7.8177668480762685
  generation=75, f=7.8177668480762685
  generation=76, f=7.817766848074597
  generation=77, f=7.817766848074597
  generation=78, f=7.81776684807273
  generation=79, f=7.81776684807273
  generation=80, f=7.81776684807273
  generation=81, f=7.817766848069462
  generation=82, f=7.817766848069462
  generation=83, f=7.817766848069462
  generation=84, f=7.817766848069462
  generation=85, f=7.817766848069462
  generation=86, f=7.817766848069462
  generation=87, f=7.817766848069462
  generation=88, f=7.817766848069462
  generation=89, f=7.817766848069462
  generation=90, f=7.817766848069462
  generation=91, f=7.817766848069462
  generation=92, f=7.8177668480694305
  generation=93, f=7.817766848069415
  generation=94, f=7.817766848069383
  generation=95, f=7.817766848069383
  generation=96, f=7.817766848069383
  generation=97, f=7.817766848069383
  generation=98, f=7.817766848069383
  generation=99, f=7.817766848069383
  
Solution: f=7.817766848069383, s=[4.343615549692181, 2.2681872112038612, 1.0402831148873468, 0.16568097228599493]
